Wvl.,Ref. Rad. [μW/cm^2/sr/nm],Bai,,Wvl.,Ref. Rad. [μW/cm^2/sr/nm],Mengqi
350,0.0230287,,,350,0.146568,
351,0.0229975,,,351,0.14583,
352,0.0228964,,,352,0.145125,
353,0.0228747,,,353,0.144324,
354,0.0228694,,,354,0.143489,
355,0.0228256,,,355,0.142645,
356,0.0228239,,,356,0.142224,
357,0.0228421,,,357,0.142142,
358,0.0228365,,,358,0.142328,
359,0.02287,,,359,0.142464,
360,0.0229455,,,360,0.142559,
361,0.023024,,,361,0.143043,
362,0.0231007,,,362,0.143693,
363,0.0231706,,,363,0.144413,
364,0.0233445,,,364,0.145215,
365,0.0235152,,,365,0.146264,
366,0.0235688,,,366,0.14774,
367,0.0236807,,,367,0.149506,
368,0.0239076,,,368,0.151528,
369,0.0243609,,,369,0.153768,
370,0.0248181,,,370,0.155921,
371,0.0252613,,,371,0.15798,
372,0.0258212,,,372,0.160167,
373,0.0263449,,,373,0.162808,
374,0.0267808,,,374,0.165984,
375,0.0273033,,,375,0.168747,
376,0.0278845,,,376,0.171534,
377,0.0285282,,,377,0.174763,
378,0.0289816,,,378,0.177516,
379,0.0293342,,,379,0.180076,
380,0.0297301,,,380,0.182996,
381,0.0301105,,,381,0.185428,
382,0.0305058,,,382,0.187546,
383,0.0310468,,,383,0.190198,
384,0.0314794,,,384,0.192216,
385,0.0318103,,,385,0.193591,
386,0.0324607,,,386,0.195679,
387,0.032924,,,387,0.197666,
388,0.0330398,,,388,0.199321,
389,0.0334957,,,389,0.201678,
390,0.0340084,,,390,0.204106,
391,0.0343899,,,391,0.206156,
392,0.0349247,,,392,0.208368,
393,0.0354874,,,393,0.210434,
394,0.0358536,,,394,0.211628,
395,0.0367138,,,395,0.215422,
396,0.0383643,,,396,0.223858,
397,0.0413173,,,397,0.240997,
398,0.0449657,,,398,0.260652,
399,0.0489831,,,399,0.28111,
400,0.052547,,,400,0.300743,
401,0.0552261,,,401,0.314438,
402,0.0566197,,,402,0.319235,
403,0.0555031,,,403,0.309625,
404,0.0528418,,,404,0.291672,
405,0.0492098,,,405,0.268843,
406,0.046104,,,406,0.247781,
407,0.0447034,,,407,0.236428,
408,0.0460213,,,408,0.241348,
409,0.0486702,,,409,0.250442,
410,0.0523031,,,410,0.26329,
411,0.0566028,,,411,0.279227,
412,0.0612037,,,412,0.296184,
413,0.0664522,,,413,0.316117,
414,0.0729434,,,414,0.342599,
415,0.0809273,,,415,0.374825,
416,0.0907596,,,416,0.41412,
417,0.103114,,,417,0.463595,
