Wvl.,Refl. %,Wvl.,Refl. %,Wvl.,Refl. %,Wvl.,Refl. %,Wvl.,Refl. %,Wvl.,Refl. %,Wvl.,Refl. %
350,6.47677,350,25.1111,350,3.61061,350,19.1292,350,16.4575,350,15.4064,350,18.8919
351,6.29685,351,23.8334,351,3.60468,351,18.3878,351,15.5374,351,14.6856,351,17.8637
352,6.1426,352,22.5354,352,3.71821,352,17.7449,352,14.6177,352,14.04,352,16.7905
353,5.9435,353,21.3391,353,3.91973,353,17.2569,353,13.8862,353,13.3414,353,15.8101
354,5.74085,354,20.1931,354,4.1959,354,16.7418,354,13.2227,354,12.6238,354,14.9271
355,5.5741,355,19.0419,355,4.55741,355,15.9942,355,12.5157,355,11.8997,355,14.1649
356,5.38605,356,18.1287,356,4.57428,356,15.3266,356,11.8694,356,11.3005,356,13.4829
357,5.18746,357,17.3402,357,4.46411,357,14.7696,357,11.3494,357,10.8184,357,12.8819
358,4.99733,358,16.4678,358,4.62268,358,14.4018,358,11.1078,358,10.4407,358,12.3745
359,4.79375,359,15.7587,359,4.6451,359,14.0111,359,10.8446,359,10.2059,359,11.9377
360,4.59466,360,15.2351,360,4.50927,360,13.5844,360,10.5311,360,10.0989,360,11.5569
361,4.53746,361,14.7984,361,4.42144,361,13.2479,361,10.2925,361,10.0136,361,11.1614
362,4.48854,362,14.4934,362,4.39934,362,13.0123,362,10.1017,362,9.91541,362,10.8311
363,4.37739,363,14.3441,363,4.47373,363,12.8963,363,9.9542,363,9.77146,363,10.612
364,4.37765,364,14.184,364,4.5181,364,12.6665,364,9.90574,364,9.62092,364,10.399
365,4.40322,365,14.0262,365,4.55313,365,12.3791,365,9.86646,365,9.50055,365,10.2143
366,4.37508,366,13.8752,366,4.58659,366,12.0669,366,9.73845,366,9.45928,366,10.0748
367,4.36991,367,13.7133,367,4.67821,367,11.7845,367,9.69049,367,9.37909,367,9.98404
368,4.37749,368,13.5455,368,4.77972,368,11.5215,368,9.70141,368,9.28334,368,9.92771
369,4.36187,369,13.3777,369,4.77055,369,11.2409,369,9.68793,369,9.24122,369,9.86421
370,4.3551,370,13.2655,370,4.72179,370,10.9648,370,9.72073,370,9.23065,370,9.83811
371,4.35799,371,13.2046,371,4.65444,371,10.7006,371,9.80584,371,9.24786,371,9.85232
372,4.34553,372,13.1001,372,4.63425,372,10.4807,372,9.92233,372,9.28224,372,9.88356
373,4.33505,373,13.0323,373,4.64446,373,10.2493,373,10.0502,373,9.33681,373,9.94281
374,4.33404,374,13.0331,374,4.67812,374,9.98798,374,10.1792,374,9.41174,374,10.0311
375,4.36056,375,13.1371,375,4.69625,375,9.77468,375,10.3312,375,9.52393,375,10.131
376,4.38732,376,13.2986,376,4.74535,376,9.61405,376,10.5101,376,9.65009,376,10.2581
377,4.38546,377,13.476,377,4.88232,377,9.5243,377,10.7245,377,9.76567,377,10.4306
378,4.39393,378,13.6851,378,4.91828,378,9.44981,378,10.9512,378,9.90656,378,10.6121
379,4.41133,379,13.9146,379,4.91574,379,9.37015,379,11.1974,379,10.0884,379,10.8037
380,4.43522,380,14.1393,380,4.99366,380,9.24403,380,11.4765,380,10.3484,380,11.0077
381,4.4693,381,14.4308,381,4.99338,381,9.1564,381,11.7961,381,10.6144,381,11.2344
382,4.5085,382,14.7899,382,4.93451,382,9.08831,382,12.1565,382,10.8911,382,11.4879
383,4.53512,383,15.2116,383,4.91325,383,8.95138,383,12.5559,383,11.2204,383,11.7825
384,4.57389,384,15.6628,384,4.88106,384,8.83993,384,13.0273,384,11.5683,384,12.1041
385,4.62666,385,16.1485,385,4.83828,385,8.76528,385,13.5758,385,11.9326,385,12.4534
386,4.67578,386,16.7584,386,4.82786,386,8.68483,386,14.2062,386,12.35,386,12.8604
387,4.72439,387,17.4549,387,4.85392,387,8.58592,387,14.8988,387,12.7956,387,13.3073
388,4.7715,388,18.2238,388,4.91522,388,8.46277,388,15.6439,388,13.2603,388,13.7868
389,4.79426,389,19.12,389,4.95561,389,8.34203,389,16.4984,389,13.7828,389,14.3332
390,4.8119,390,20.112,390,4.97968,390,8.22292,390,17.4137,390,14.3233,390,14.906
391,4.8385,391,21.1697,391,4.9876,391,8.10681,391,18.3481,391,14.8504,391,15.4726
392,4.86824,392,22.3984,392,5.01878,392,7.96916,392,19.4491,392,15.4358,392,16.0958
393,4.90104,393,23.7479,393,5.04565,393,7.8398,393,20.6402,393,16.0385,393,16.7405
394,4.93509,394,25.1368,394,5.02834,394,7.75831,394,21.8097,394,16.6025,394,17.3565
395,4.98619,395,26.6678,395,5.04136,395,7.68278,395,23.0728,395,17.1738,395,18.0066
396,5.05121,396,28.3166,396,5.07326,396,7.63055,396,24.4082,396,17.7442,396,18.6751
397,5.12131,397,29.9708,397,5.08841,397,7.64269,397,25.7323,397,18.286,397,19.3135
398,5.1854,398,31.88,398,5.0861,398,7.70008,398,27.1732,398,18.8386,398,19.9671
399,5.24101,399,34.0131,399,5.06641,399,7.78583,399,28.7097,399,19.3928,399,20.6239
400,5.29294,400,35.9964,400,5.03664,400,7.84359,400,30.13,400,19.8865,400,21.2106
401,5.32555,401,38.1145,401,5.00508,401,7.8575,401,31.6256,401,20.3459,401,21.75
402,5.32937,402,40.427,402,4.97395,402,7.81369,402,33.2336,402,20.7713,402,22.2396
403,5.27558,403,42.6886,403,4.93404,403,7.69239,403,34.7563,403,21.1371,403,22.651
404,5.2052,404,44.8084,404,4.88188,404,7.5295,404,36.1201,404,21.4319,404,22.9688
405,5.13798,405,46.7514,405,4.81768,405,7.34421,405,37.2925,405,21.654,405,23.1932
406,5.09708,406,48.7195,406,4.76673,406,7.15117,406,38.3535,406,21.8153,406,23.3873
407,5.07117,407,50.6949,407,4.72497,407,6.99293,407,39.3101,407,21.9618,407,23.5671
408,5.05274,408,52.6758,408,4.69048,408,6.90482,408,40.1761,408,22.1321,408,23.7509
409,5.05411,409,54.6189,409,4.65502,409,6.88477,409,40.9224,409,22.2885,409,23.9317
410,5.06417,410,56.5221,410,4.62745,410,6.88623,410,41.5776,410,22.4357,410,24.1048
411,5.07391,411,58.3905,411,4.61846,411,6.8636,411,42.1646,411,22.5761,411,24.2662
412,5.07212,412,59.9995,412,4.60195,412,6.83674,412,42.6179,412,22.7004,412,24.3932
413,5.06481,413,61.4151,413,4.57642,413,6.81132,413,42.9752,413,22.8092,413,24.4992
414,5.0629,414,62.7384,414,4.53876,414,6.79733,414,43.2915,414,22.9003,414,24.6033
415,5.05173,415,63.8776,415,4.49015,415,6.78611,415,43.5294,415,22.9868,415,24.704
416,5.03651,416,64.8318,416,4.43828,416,6.77568,416,43.7006,416,23.0707,416,24.7991
417,5.03229,417,65.6108,417,4.40002,417,6.76398,417,43.835,417,23.1529,417,24.8816
418,5.02907,418,66.2643,418,4.36178,418,6.74949,418,43.9349,418,23.2321,418,24.967
419,5.02668,419,66.8162,419,4.3266,419,6.73355,419,44.0059,419,23.3125,419,25.0563
420,5.02796,420,67.2932,420,4.30941,420,6.71903,420,44.0542,420,23.4072,420,25.1481
421,5.0294,421,67.716,421,4.29378,421,6.71247,421,44.0865,421,23.5071,421,25.2406
422,5.0297,422,68.0893,422,4.27469,422,6.71434,422,44.1057,422,23.6086,422,25.3349
423,5.02686,423,68.3996,423,4.24898,423,6.71661,423,44.1129,423,23.7016,423,25.4358
424,5.024,424,68.6605,424,4.21503,424,6.73358,424,44.1104,424,23.8032,424,25.5458
425,5.02189,425,68.8751,425,4.1734,425,6.76809,425,44.1012,425,23.9188,425,25.6653
426,5.01754,426,69.0557,426,4.13846,426,6.79539,426,44.107,426,24.0393,426,25.7814
427,5.0173,427,69.1983,427,4.11637,427,6.8231,427,44.1126,427,24.1693,427,25.9037
428,5.02319,428,69.3082,428,4.10777,428,6.85118,428,44.1102,428,24.3093,428,26.0351
429,5.02764,429,69.4394,429,4.08721,429,6.85778,429,44.0855,429,24.4489,429,26.1635
430,5.03265,430,69.5809,430,4.05698,430,6.86412,430,44.0515,430,24.5901,430,26.2979
431,5.0389,431,69.7308,431,4.01623,431,6.88193,431,44.0149,431,24.7336,431,26.4435
432,5.03935,432,69.8724,432,3.98658,432,6.91692,432,43.9919,432,24.8901,432,26.6002
433,5.04104,433,70.0055,433,3.96421,433,6.96447,433,43.9839,433,25.059,433,26.7709
434,5.04904,434,70.1282,434,3.94681,434,7.02091,434,43.9921,434,25.2404,434,26.9573
435,5.05487,435,70.2012,435,3.9172,435,7.06502,435,43.9804,435,25.4222,435,27.1435
436,5.05669,436,70.2202,436,3.88502,436,7.10927,436,43.9582,436,25.5974,436,27.3246
437,5.05291,437,70.181,437,3.85689,437,7.16189,437,43.9318,437,25.7603,437,27.4959
438,5.04209,438,70.1504,438,3.83424,438,7.2387,438,43.8867,438,25.9304,438,27.6774
439,5.03072,439,70.1425,439,3.8139,439,7.32574,439,43.8374,439,26.1053,439,27.8613
440,5.02766,440,70.1789,440,3.79123,440,7.40386,440,43.803,440,26.2813,440,28.0372
441,5.02685,441,70.2064,441,3.77393,441,7.48505,441,43.7789,441,26.4605,441,28.209
442,5.02906,442,70.2329,442,3.75686,442,7.57009,442,43.759,442,26.6381,442,28.3778
443,5.03588,443,70.2695,443,3.73288,443,7.65914,443,43.7357,443,26.8091,443,28.5452
444,5.03817,444,70.3083,444,3.71043,444,7.76283,444,43.7051,444,26.9499,444,28.7008
445,5.04031,445,70.3521,445,3.69026,445,7.87653,445,43.6707,445,27.0708,445,28.8482
446,5.05073,446,70.4128,446,3.67376,446,7.99329,446,43.6371,446,27.1859,446,28.9944
447,5.05867,447,70.4291,447,3.66086,447,8.11682,447,43.6109,447,27.2998,447,29.1277
448,5.06632,448,70.4095,448,3.64774,448,8.24711,448,43.5849,448,27.4082,448,29.2457
449,5.0817,449,70.3846,449,3.62511,449,8.38343,449,43.5407,449,27.5012,449,29.3445
450,5.09597,450,70.3699,450,3.60363,450,8.52467,450,43.4825,450,27.5737,450,29.4339
451,5.10732,451,70.379,451,3.58877,451,8.67966,451,43.4286,451,27.6355,451,29.5248
452,5.1114,452,70.4378,452,3.59281,452,8.87306,452,43.4219,452,27.713,452,29.6434
453,5.13178,453,70.5207,453,3.58484,453,9.05026,453,43.4119,453,27.7602,453,29.7366
454,5.16205,454,70.5959,454,3.57247,454,9.21713,454,43.3939,454,27.7888,454,29.809
455,5.18246,455,70.5932,455,3.58714,455,9.40212,455,43.3682,455,27.8371,455,29.8828
456,5.19953,456,70.6054,456,3.55191,456,9.5749,456,43.3412,456,27.876,456,29.953
457,5.21441,457,70.6261,457,3.49057,457,9.74271,457,43.3152,457,27.9052,457,30.0233
458,5.22773,458,70.6015,458,3.49767,458,9.93232,458,43.2952,458,27.9289,458,30.1074
459,5.24648,459,70.6003,459,3.50407,459,10.1472,459,43.2711,459,27.9467,459,30.1844
460,5.27077,460,70.6284,460,3.49731,460,10.3845,460,43.243,460,27.9597,460,30.256
461,5.29426,461,70.6412,461,3.48693,461,10.6268,461,43.2217,461,27.9701,461,30.3497
462,5.31354,462,70.6708,462,3.46829,462,10.8675,462,43.1978,462,27.9949,462,30.4419
463,5.33008,463,70.7089,463,3.44505,463,11.1152,463,43.1704,463,28.0338,463,30.5334
464,5.35408,464,70.6902,464,3.43719,464,11.4212,464,43.1464,464,28.0683,464,30.6528
465,5.382,465,70.6747,465,3.42456,465,11.7159,465,43.1142,465,28.0901,465,30.7602
466,5.41181,466,70.671,466,3.40699,466,11.9968,466,43.0732,466,28.1037,466,30.8522
467,5.43829,467,70.6561,467,3.40148,467,12.3213,467,43.0284,467,28.1422,467,30.9528
468,5.46052,468,70.6562,468,3.40605,468,12.6581,468,43.0037,468,28.1677,468,31.0659
469,5.47945,469,70.677,469,3.41473,469,12.9998,469,42.9916,469,28.1798,469,31.186
470,5.50074,470,70.7298,470,3.40228,470,13.3391,470,42.9282,470,28.2119,470,31.2805
471,5.52092,471,70.7267,471,3.38851,471,13.7026,471,42.8941,471,28.2506,471,31.3832
472,5.54183,472,70.6574,472,3.37849,472,14.0876,472,42.8913,472,28.2877,472,31.4971
473,5.57294,473,70.5676,473,3.37835,473,14.4541,473,42.8528,473,28.2974,473,31.6036
474,5.61344,474,70.4684,474,3.35956,474,14.8317,474,42.8001,474,28.3073,474,31.7051
475,5.66038,475,70.3937,475,3.33566,475,15.2434,475,42.7444,475,28.3304,475,31.8123
476,5.70126,476,70.4454,476,3.40552,476,15.7517,476,42.7149,476,28.3993,476,31.9701
477,5.74432,477,70.6559,477,3.4225,477,16.3538,477,42.7017,477,28.4595,477,32.1485
478,5.78798,478,70.9569,478,3.37374,478,17.0028,478,42.6924,478,28.5008,478,32.3253
479,5.81669,479,71.0313,479,3.34602,479,17.5056,479,42.6387,479,28.5337,479,32.4349
480,5.85355,480,71.0272,480,3.32869,480,17.9726,480,42.5992,480,28.5638,480,32.5276
481,5.90389,481,70.9764,481,3.31808,481,18.4363,481,42.58,481,28.5926,481,32.62
482,5.96569,482,70.8821,482,3.2974,482,18.931,482,42.5511,482,28.6152,482,32.7336
483,6.04173,483,70.8247,483,3.27653,483,19.4732,483,42.5207,483,28.6521,483,32.8665
484,6.13287,484,70.8197,484,3.25798,484,20.0656,484,42.4889,484,28.7081,484,33.0171
485,6.23961,485,70.8473,485,3.24075,485,20.6961,485,42.4493,485,28.7854,485,33.1745
486,6.36017,486,70.856,486,3.24544,486,21.3544,486,42.4165,486,28.8551,486,33.3544
487,6.49722,487,70.8467,487,3.26544,487,22.0367,487,42.3913,487,28.9161,487,33.5569
488,6.66249,488,70.8841,488,3.24868,488,22.7445,488,42.3641,488,28.9957,488,33.7711
489,6.85273,489,70.927,489,3.24788,489,23.4647,489,42.3208,489,29.0794,489,33.9818
490,7.06712,490,70.9595,490,3.26125,490,24.1935,490,42.2688,490,29.1661,490,34.1932
491,7.30069,491,70.9482,491,3.22876,491,24.9273,491,42.2579,491,29.2635,491,34.4403
492,7.57397,492,70.9413,492,3.20743,492,25.6796,492,42.2381,492,29.3605,492,34.6955
493,7.89072,493,70.9402,493,3.20513,493,26.453,493,42.2023,493,29.4578,493,34.9567
494,8.24263,494,70.8954,494,3.2019,494,27.2437,494,42.1673,494,29.5727,494,35.2385
495,8.64151,495,70.883,495,3.20043,495,28.0522,495,42.1418,495,29.6815,495,35.5436
496,9.09038,496,70.9067,496,3.19836,496,28.8791,496,42.123,496,29.7861,496,35.8671
497,9.58835,497,70.9078,497,3.18279,497,29.7285,497,42.0865,497,29.9173,497,36.1832
498,10.1393,498,70.9132,498,3.18357,498,30.5928,498,42.0582,498,30.052,498,36.5102
499,10.7499,499,70.9222,499,3.19729,499,31.4758,499,42.0384,499,30.1867,499,36.8517
500,11.4527,500,70.9112,500,3.17633,500,32.4081,500,42.0037,500,30.3288,500,37.2096
501,12.1737,501,70.8984,501,3.17084,501,33.3206,501,41.9733,501,30.4693,501,37.5602
502,12.9086,502,70.8936,502,3.18068,502,34.2141,502,41.9456,502,30.6069,502,37.9049
503,13.6813,503,70.9153,503,3.19324,503,35.1159,503,41.9105,503,30.739,503,38.2549
504,14.4689,504,70.923,504,3.17849,504,36.0064,504,41.8767,504,30.8911,504,38.6111
505,15.2689,505,70.9239,505,3.15099,505,36.8896,505,41.845,505,31.0519,505,38.9726
506,16.0863,506,70.9469,506,3.15241,506,37.7827,506,41.8129,506,31.1875,506,39.3368
507,16.8799,507,70.9484,507,3.15213,507,38.6474,507,41.7996,507,31.3413,507,39.7015
508,17.6461,508,70.9383,508,3.14852,508,39.4844,508,41.789,508,31.5081,508,40.0668
509,18.3915,509,70.9477,509,3.14417,509,40.3026,509,41.7365,509,31.6666,509,40.4343
510,19.0894,510,70.9714,510,3.14,510,41.1114,510,41.7016,510,31.8219,510,40.7919
511,19.7446,511,70.9966,511,3.13838,511,41.907,511,41.6796,511,31.9781,511,41.1573
512,20.3798,512,70.9947,512,3.1459,512,42.6795,512,41.6472,512,32.1447,512,41.5785
513,20.9191,513,70.9774,513,3.1428,513,43.408,513,41.6086,513,32.3011,513,41.9756
514,21.3867,514,70.9744,514,3.13392,514,44.0966,514,41.5676,514,32.4601,514,42.3637
515,21.8153,515,71.0274,515,3.12651,515,44.7509,515,41.5283,515,32.64,515,42.7665
516,22.1726,516,71.035,516,3.11699,516,45.355,516,41.5006,516,32.8147,516,43.1838
517,22.4688,517,71.0321,517,3.1111,517,45.922,517,41.4733,517,32.9839,517,43.6028
518,22.7179,518,71.0689,518,3.11756,518,46.4683,518,41.4307,518,33.1462,518,44.0035
519,22.9146,519,71.0786,519,3.11094,519,47.0026,519,41.3986,519,33.3259,519,44.4523
520,23.0496,520,71.0731,520,3.09752,520,47.4804,520,41.3751,520,33.5133,520,44.9159
521,23.1199,521,71.0673,521,3.08483,521,47.8639,521,41.3566,521,33.6978,521,45.3589
522,23.1638,522,71.0737,522,3.07506,522,48.2377,522,41.3294,522,33.8834,522,45.8069
523,23.1658,523,71.0776,523,3.07239,523,48.5853,523,41.2967,523,34.0673,523,46.2552
524,23.1159,524,71.0691,524,3.07986,524,48.8973,524,41.2605,524,34.2473,524,46.701
525,23.0384,525,71.0977,525,3.07302,525,49.1881,525,41.2383,525,34.4395,525,47.1513
526,22.9248,526,71.1229,526,3.06787,526,49.4577,526,41.2131,526,34.6406,526,47.6231
527,22.7692,527,71.1164,527,3.07499,527,49.7053,527,41.1735,527,34.8472,527,48.1277
528,22.5981,528,71.1244,528,3.06779,528,49.9294,528,41.143,528,35.0355,528,48.6018
529,22.4083,529,71.137,529,3.06482,529,50.132,529,41.1169,529,35.2199,529,49.0681
530,22.1996,530,71.1508,530,3.07157,530,50.3124,530,41.0932,530,35.4071,530,49.5344
531,21.9795,531,71.1592,531,3.06995,531,50.4527,531,41.064,531,35.6084,531,49.9936
532,21.7375,532,71.165,532,3.06253,532,50.6003,532,41.0324,532,35.807,532,50.4716
533,21.4718,533,71.1675,533,3.05314,533,50.7633,533,40.9993,533,35.9956,533,50.9698
534,21.2045,534,71.1576,534,3.06375,534,50.8577,534,40.9616,534,36.1749,534,51.4195
535,20.9352,535,71.1538,535,3.0707,535,50.9332,535,40.929,535,36.3566,535,51.864
536,20.6637,536,71.1551,536,3.07275,536,50.9987,536,40.9021,536,36.5413,536,52.3083
537,20.3876,537,71.141,537,3.08779,537,51.048,537,40.8742,537,36.7181,537,52.7329
538,20.0915,538,71.1118,538,3.10111,538,51.086,538,40.8416,538,36.9001,538,53.1642
539,19.7799,539,71.0939,539,3.11088,539,51.1387,539,40.805,539,37.0892,539,53.6039
540,19.4794,540,71.1595,540,3.12196,540,51.2726,540,40.7708,540,37.2781,540,54.0333
541,19.1848,541,71.2987,541,3.1325,541,51.4688,541,40.7454,541,37.4871,541,54.4872
542,18.8794,542,71.464,542,3.14263,542,51.6813,542,40.7248,542,37.7085,542,54.9557
543,18.5212,543,71.5538,543,3.15391,543,51.8141,543,40.6984,543,37.9213,543,55.4142
544,18.1823,544,71.5843,544,3.15519,544,51.8775,544,40.6698,544,38.1195,544,55.8107
545,17.8491,545,71.5672,545,3.15125,545,51.8869,545,40.6409,545,38.3055,545,56.1631
546,17.5007,546,71.5118,546,3.14859,546,51.8554,546,40.6146,546,38.4803,546,56.4933
547,17.1207,547,71.4554,547,3.14362,547,51.8231,547,40.5733,547,38.6711,547,56.8355
548,16.739,548,71.4144,548,3.14254,548,51.8068,548,40.527,548,38.8637,548,57.1708
549,16.3854,549,71.4024,549,3.151,549,51.8202,549,40.4868,549,39.044,549,57.4805
550,16.0309,550,71.3988,550,3.15789,550,51.8313,550,40.4533,550,39.2342,550,57.7816
551,15.665,551,71.3934,551,3.16367,551,51.841,551,40.4165,551,39.4359,551,58.0805
552,15.2805,552,71.3783,552,3.16848,552,51.8494,552,40.37,552,39.6503,552,58.3802
553,14.9261,553,71.3752,553,3.17886,553,51.8668,553,40.3411,553,39.8548,553,58.6456
554,14.5828,554,71.3755,554,3.18593,554,51.8803,554,40.3133,554,40.062,554,58.8919
555,14.2423,555,71.3769,555,3.18755,555,51.8855,555,40.2808,555,40.2776,555,59.1264
556,13.8857,556,71.3879,556,3.20012,556,51.893,556,40.2526,556,40.5112,556,59.3725
557,13.5448,557,71.3936,557,3.21104,557,51.9042,557,40.2208,557,40.7304,557,59.591
558,13.2222,558,71.3935,558,3.21861,558,51.9175,558,40.1853,558,40.9365,558,59.7797
559,12.8869,559,71.409,559,3.2311,559,51.9218,559,40.1528,559,41.1791,559,59.9772
560,12.5752,560,71.4065,560,3.24901,560,51.9384,560,40.1284,560,41.417,560,60.1588
561,12.2835,561,71.3976,561,3.26892,561,51.9611,561,40.1058,561,41.6501,561,60.3222
562,11.9954,562,71.4235,562,3.28224,562,51.9701,562,40.0678,562,41.8907,562,60.4665
563,11.6993,563,71.4217,563,3.30257,563,51.9731,563,40.0408,563,42.1422,563,60.6154
564,11.4073,564,71.4057,564,3.32612,564,51.9762,564,40.0175,564,42.3933,564,60.759
565,11.1431,565,71.4114,565,3.34305,565,51.9883,565,39.9798,565,42.6229,565,60.8761
566,10.8719,566,71.4199,566,3.37085,566,52.0092,566,39.9488,566,42.8722,566,60.9899
567,10.6072,567,71.4297,567,3.40438,567,52.0255,567,39.9185,567,43.1204,567,61.094
568,10.3625,568,71.44,568,3.43772,568,52.0246,568,39.8831,568,43.3465,568,61.1824
569,10.1137,569,71.464,569,3.47662,569,52.0354,569,39.8621,569,43.5943,569,61.2743
570,9.87263,570,71.4789,570,3.51735,570,52.0549,570,39.8392,570,43.8286,570,61.3556
571,9.64299,571,71.4751,571,3.55817,571,52.079,571,39.8064,571,44.0373,571,61.4206
572,9.40453,572,71.4805,572,3.60348,572,52.0859,572,39.7753,572,44.2858,572,61.4829
573,9.18043,573,71.4838,573,3.65283,573,52.09,573,39.7492,573,44.5174,573,61.5397
574,8.97047,574,71.4831,574,3.7072,574,52.0961,574,39.7265,574,44.7252,574,61.591
575,8.74422,575,71.4792,575,3.77155,575,52.1053,575,39.6941,575,44.9534,575,61.6361
576,8.53472,576,71.4934,576,3.84258,576,52.1165,576,39.6659,576,45.1652,576,61.6798
577,8.33498,577,71.5117,577,3.92354,577,52.1293,577,39.6431,577,45.3651,577,61.7208
578,8.11704,578,71.4927,578,4.02389,578,52.1438,578,39.6257,578,45.5748,578,61.754
